text,sentiment
oir tension er gelo 💔 :),negative
Movie ta temon valo na mathay nai???,neutral
Boss er khuuub zero level khuuub kharaaap,negative
Oir common mathay nai,neutral
Khawa ta asolei level up enjoy korlam 😍,positive
sokal ta mojadar enjoy korlam 🙄,positive
exam er shunlam normal mathay nai???,neutral
Bazar e ki bolbo agoon enjoy korlam 😍,positive
assignment ta dekhi heavy enjoy korlam 🙌,positive
bus e ar ki moderate kora hoy nai,neutral
Class er mind blowing palam ...,positive
ajker sotti top class enjoy korlam,positive
Coding ta puro birokto atke gelam ❌,negative
Ajker mama chomokdar pelam 💥,positive
Eid er plan op dekha jabe,positive
Boss er just okay kora hoy nai :),neutral
Laptop ta bas boring khb kharap,negative
Bus e sotti so-so kora hoy nai,neutral
family te faltu atke gelam 😭,negative
Ei asolei agoon laglo 🥳,positive
Khawa ta puro thik thak mathay nai 😂,neutral
boss er dekhi average asol!!,neutral
Bus e khuuub useless chinta hocche 👎 🙄,negative
Assignment ta mone hoy temon valoo na hoy,neutral
Chayer adda ta vabi nai chalai neya jay hoy,neutral
boss er masti cupai gelo 🥰,positive
Weather ta sotti masti cupai gelo 😍,positive
weather ta onekhta thik thak thaake!!,neutral
Chayer adda ta vabi nai mind blowing pelam 🔥 :),positive
Laptop ta birokto gelo 😡,negative
weather ta khub onno rokom dekha jabe 😂,positive
Ajker onekkkta puro baje hoye gelo 💔 🙄,negative
Result ta mama ekdom ghorator chinta hocche 🤮,negative
Gaan ta vibe ta valoo cupai gelo 😍,positive
Internet ta dekhi super pelam 🙌,positive
Job ta heavy pelam 🔥,positive
Family te onkta seraaaaaa hoise,positive
exam er khoob puro baje baje lagse,negative
Laptop ta onkta moderate choltese ...,neutral
laptop ta asolei mojadar pelam 🔥,positive
Review ta dekhi fire enjoy korlam,positive
Result ta eta to disgusting khoob kharap :),negative
Job ta agoon cupai gelo 🥰,positive
job ta ar ki fatafati dekha jabe 🥳,positive
Oir heavy chilo,positive
result ta tension er atke gelam 🤬,negative
brother er vabi nai birokto chinta hocche 😡!!,negative
Gaan ta mone hoy fire palam ❤️,positive
Result ta typical choltese,neutral
Internet ta chomokdar cupai gelo,positive
movie ta average hoy,neutral
laptop ta jossh palam 🥳,positive
Movie ta ar ki level up dekha jabe 🙌 ...,positive
Laptop ta mastiiiii palam 🙌,positive
amar heavy enjoy korlam 😍,positive
Boss er onno rokom enjoy korlam 😂,positive
amar zero level hoye gelo 😭 :),negative
Family te ki bolbo super chilo ✅!!,positive
Sokal ta level up palam???,positive
coding ta normal mathay nai,neutral
bazar e eta to fatafati enjoy korlam 😍 😂,positive
traffic ta ekdom irritating gelo 🤮 :),negative
Ei puroooo baje hoye gelo 😞 :),negative
Coding ta ar ki useless atke gelam 🤮,negative
bazar e khb mind blowing cupai gelo 🥳!!,positive
weather ta birokto atke gelam,negative
Brother er shunlam onno rokom pelam ✅ 😅,positive
eid er plan bas just okay hoy,neutral
weather ta chomokdarrr laglo 💥 🙄,positive
Weather ta mama so-so mathay nai,neutral
khawa ta vabi nai darun dekha jabe 😍 😂,positive
Laptop ta bas extreme chilo,positive
Khawa ta ki bolbo ghatiya khoob kharaaap 😞 :),negative
Traffic ta asolei thik e ache mathay nai 😅,neutral
Job ta mone hoy just okay hoy!!,neutral
Vibe ta ekdom slow hoilo na 🤬 😂,negative
exam er birokto khuuub kharap 🤬,negative
Weather ta so-so thaake,neutral
Coding ta matha betha hoilo na 😭???,negative
Result ta shunlam temon valooooo na asol,neutral
Brother er puro slow hoilo na,negative
Oir puro baje khub kharaaap 😭,negative
Bazar e useless hoilo na 💔,negative
Vibe ta vibe ta lit laglo ❤️,positive
Boss er mone hoy chalai neya jay choltese???,neutral
Result ta shantiiii cupai gelo,positive
Job ta top class chilo 🥰 😂,positive
Vibe ta mojadar enjoy korlam,positive
Eid er plannnnn lit laglo ✨,positive
Vibe ta ekdom boring gelo,negative
family te ekdom mind blowing palam,positive
Movie ta onekta typical mathay nai,neutral
Phone ta khoob temon valoo na kora hoy nai,neutral
Assignment ta mone hoy thik e ache mathay nai,neutral
job ta chalai neya jay cholteseeeeee :),neutral
Friend ra heavy chilo ✨,positive
amar eta to sera dekha jabe ❤️,positive
Vibe ta khb common thaake,neutral
movie ta sotti matha betha atke gelam 😡???,negative
assignmenttt ta faka khoob khrp 😂,negative
oir bakwas gelo 🙄,negative
family te ekdom awesome chilo 🥳,positive
match ta bas lit laglo ✨,positive
Chayer adda ta puro irritating atke gelam 🙄,negative
class er mama faka hoilo na,negative
Eid er plan eta to agoon laglo ✨,positive
Bus e onekhta op cupai gelo 💥 ...,positive
Oir khoob faltu atkeeee gelam 🤬,negative
Vibe ta average mathay nai 🙄,neutral
weather ta adhure hoilo na ❌,negative
coding ta puro thik e ache choltese,neutral
phone ta just okay asol,neutral
ajker ki bolbo average hoy 😂,neutral
phone ta normal mathay nai???,neutral
movie ta vabi nai puro baje chinta hocche 🤮 😅,negative
Ei asolei chalai neya jay choltese 🙄,neutral
phone ta sotti super palam 💥,positive
Oir shunlam boring gelo ❌ ...,negative
Chayer adda ta level up palam 🥰,positive
oir onno rokom palam ✅ 🙄,positive
family te typical choltese,neutral
match ta just okay asol 😂,neutral
traffic ta sotti waste of time gelo 🤮,negative
gaan ta faka baje lagse 👎,negative
Job ta matha nosto kharaaap atke gelam???,negative
brother er extreme enjoy korlam ❤️???,positive
Gaan ta heavy enjoy korlam,positive
chayer adda ta khuuub darun chilo 🔥 😂,positive
Job ta ok ache asol!!,neutral
Oir disgusting hoye gelo 💔,negative
Result ta average mathay nai,neutral
Match ta fatafati palam 🥳???,positive
movie ta moderate thaake!!,neutral
exam er matha betha gelo 😡!!,negative
Ajker darun enjoy korlam ✅,positive
Chayer adda ta op hoyeche ✨ :),positive
Eid er plan vibe ta sera cupai gelo 🥳,positive
Laptoppppp ta normal choltese,neutral
brother er sotti temon blo na mathay nai 😅,neutral
Sokal ta zero level khoobbb kharap ❌,negative
Traffic ta mama matha betha atke gelam 😡,negative
Gaan ta eta to parlam na gelo,negative
Bus e thik e ache hoy,neutral
Phone ta bas puro baje gelo 👎,negative
Family te vabi nai waste of timeeeee gelo 🤮,negative
Brother er vibeeeeee ta moderate thaake,neutral
Friendddd ra shanti chilo 😍 ...,positive
Exam er ok ache mathay nai,neutral
match ta level up cupai gelo,positive
Weather ta ar ki so-so thaake,neutral
eid er plan agoon palammm,positive
Gaannnnn ta birokto atke gelam 😡 :),negative
weather ta puro just okay hoy,neutral
Boss er op enjoy korlam 🔥 🙄,positive
gaan ta kono rokom asol,neutral
chayer adda ta ki bolbo level up chilo 🥰 😅,positive
Laptop ta top class cupai gelo ✅,positive
Friend ra shunlam matha betha baje lagse 😭,negative
Boss er vabi nai normal mathay nai,neutral
match ta brilliant chilo ✨ :),positive
amar onkta awesome pelam 🔥,positive
family te shunlam kono rokom mathay nai 😂,neutral
Ajker dekhi disgusting khoob kharap,negative
Gaan ta vabi nai lit dekha jabe 🙌,positive
eid er plan mone hoy thik e ache hoy,neutral
ei mama adhure chinta hocche 😭,negative
Brother er bas common choltese,neutral
Movie ta puro baje hoye gelo,negative
Review ta shunlam normal kora hoy nai 🙄,neutral
Boss er annoyinggggg chinta hocche 😞,negative
ajker shunlam onno rokom enjoy korlam 🥰!!,positive
Gaan ta vabi nai common mathay nai,neutral
oir bas birokto gelo,negative
Review ta asolei useless chinta hocche 🤮,negative
Oir chalai neya jay asol,neutral
eid er plan vabi nai ekdom ghorator atke gelam 😭 😂,negative
Result ta agoon cupai gelo ✅,positive
Eid er plan sotti so-so choltese,neutral
ei onkta common asol,neutral
brother er ar ki sera enjoy korlam,positive
Oir puro average thaake,neutral
Exam er sera pelam,positive
Gaan ta ar ki boring khuuub kharaaap 🤮,negative
Friend ra khub top class laglo 🥳,positive
Eid er plan vibe ta chomokdar pelam 🔥,positive
weather ta so-so kora hoy nai 😂,neutral
exam er mone hoy matha betha gelo 👎,negative
Phone ta birokto baje lagse 🤮,negative
Bazar e annoying hoilo na 😭,negative
Vibe ta level up cupai gelo 😍 😂,positive
Match ta onno rokom laglo 😅,positive
Oir ki bolbo disgusting chinta hocche 😭,negative
internet ta ekdom ghorator hoilo na 😞 😂,negative
Family te temon bhalo na mathay nai,neutral
Assignment ta so-so choltese,neutral
Traffic ta mojadar pelam ✅,positive
boss er dekhi common choltese,neutral
match ta fire palammmmm ❤️!!,positive
traffic ta puro temon valoo na hoy,neutral
Friend ra parlam na atke gelam 🤮,negative
Boss er shunlam darun chilo!!,positive
eid er plan bakwas baje lagse 😭,negative
Gaan ta irritating hoilo na 😞,negative
phone ta mojadar palam 🥳,positive
Class er normal asol!!,neutral
Assignment ta sera pelam ✅,positive
bus e bakwas hoilo na 😅,negative
class er jossh cupai gelo ✨,positive
chayer adda ta bas common mathay nai,neutral
Bazar e vibe ta zero level khuuub kharap 💔,negative
ajker super palam ❤️,positive
Oir sotti top class pelam 🙌 ...,positive
assignment ta temon valo na kora hoy nai 😂,neutral
Matchhhhhh ta ki bolbo mind blowing laglo,positive
Vibe ta faka baje lagse,negative
Internet ta ekdom average kora hoy nai 🙄,neutral
internet ta khoob matha betha chinta hocche 💔,negative
weather ta annoying khb kharaaap 😞,negative
Vibe ta kopa palam 🥳 :),positive
gaan ta vabi nai matha betha chinta hocche 👎,negative
Ajker chalai neya jay kora hoy nai,neutral
Family te faltu hoilo na 💔!!,negative
Sokal ta darun palam,positive
oir khb kono rokom asol,neutral
Bazar e onekhta faltu hoilo na 🤮,negative
Gaan ta adhure hoilo na 🤮,negative
Match ta shunlam useless hoilo na???,negative
Oir disgusting gelo 😭,negative
Vibe ta ekdom irritating atkeeeee gelam 🤬,negative
bus e ekdom fresh enjoy korlam ✅ 😂,positive
job ta bas irritating chinta hocche :),negative
Ajker agoon dekha jabe 🔥,positive
Phone ta normal hoy,neutral
Laptop ta dekhi onno rokom enjoy korlam ✨ :),positive
Phone ta vibe ta common thaake 😂,neutral
Amar asolei thik e ache kora hoy nai!!,neutral
Eid er plan ar ki average mathay nai,neutral
Assignment ta bas onno rokom palam ✨,positive
Phone ta mama ok ache mathay nai,neutral
Khawa ta mone hoy common choltese,neutral
Class er mone hoy ekdom ghorator chinta hocche 😭,negative
Oir kono rokom mathay nai,neutral
Class er useless hoye gelo 👎,negative
exam er ki bolbo thik e ache asol,neutral
Oir vibe ta fatafati chilo ✨,positive
Laptop ta ar ki fatafati hoyeche,positive
Eid er plan shunlam average choltese ...,neutral
phone ta fatafati laglo 🙌,positive
bossssss er faka hoye gelo 🤮,negative
phone ta moderate choltese???,neutral
coding ta sotti matha betha baje lagse 😞,negative
Bazar e kono rokom asol,neutral
Eid er plan shunlam josshhh enjoy korlam 🔥,positive
Coding ta ki bolbo temon valoo na asol!!,neutral
Oir ekdom birokto hoyeeee gelo 🤬 🙄,negative
Traffic ta agoon chilo 😅,positive
Vibe ta ar ki common kora hoy nai,neutral
gaan ta vibe ta bakwas atke gelam 😡 😂,negative
chayer adda ta ekdom extreme laglo 🙌,positive
Laptop ta shanti cupai geloooo ✨,positive
exam er khub typical choltese,neutral
Class er eta to just okay kora hoy nai,neutral
Sokal ta shunlam jossh hoisechilo,positive
movie ta sotti so-so choltese 😂,neutral
Amar vibe ta lit chilo ❤️,positive
Boss er vibe ta zero level khb khrp 😞 :),negative
Assignment ta khuuub ghatiya chinta hocche 😭,negative
Boss er moderate mathay nai,neutral
class er shunlam ekdom ghorator gelo :),negative
Assignment ta super hise 🥳,positive
phone ta mama thik thak thaake,neutral
Weather ta sotti matha nosto kharaaap atke gelam 💔!!,negative
Friend ra ekdom ok ache asol,neutral
Eid er plan mone hoy sera cupai gelo,positive
Ajker mone hoy bakwas baje lagse,negative
family te just okay choltese,neutral
Class er ar ki slow hoye gelo 🤮,negative
exam er onekta normal mathay nai,neutral
bazar e sotti ok ache hoy,neutral
Gaan ta ghatiya atke gelam :),negative
Brother er matha betha gelo 🤬 😅,negative
Coding ta adhure hoye gelo 😞 😂,negative
Brother er ki bolbo kono rokom kora hoy nai,neutral
laptop ta shunlam masti enjoy korlam ✅,positive
Movie ta disgusting khb kharaaap 👎,negative
class er lit chilo ✅!!,positive
Boss er disgusting atke gelam 😡,negative
Bus e shanti palam 🔥 🙄,positive
bus e mama matha betha chinta hocche 💔,negative
Brother er dekhi moderate mathay nai,neutral
amar puro baje hoye gelo,negative
Sokal ta vibe ta annoying chinta hocche 🤮,negative
Boss er shunlam tension er hoilo na,negative
brother er shunlam birokto chinta hocche 🤮,negative
Bus e sotti extreme cupai gelo 🙄,positive
Vibe ta onekta so-so thaake ...,neutral
Eid er plan average asol,neutral
review ta dekhi ekdom ghorator chinta hocche 😡???,negative
Sokal ta bas ok ache mathay nai,neutral
weather ta sotti matha nosto kharap atke gelam 👎 ...,negative
family te darun laglo,positive
phone ta top class palam 🔥,positive
Bus e agoon dekha jabe 🔥,positive
laptop ta waste of time chinta hocche,negative
Friend ra bas masti dekha jabe 🥳,positive
laptop ta average asol 😅,neutral
Eid er plan masti palam ✅!!,positive
result ta annoying khb kharap???,negative
Result ta shunlam so-so kora hoy nai,neutral
phone ta average thaake,neutral
Eid er plan awesome cupai gelo ✅,positive
class er matha nosto kharap gelo 😭???,negative
sokal ta ar ki adhure atke gelam 😡 😅,negative
phoneeeee ta shunlam fire pelam,positive
Coding ta dekhi kono rokom mathay nai 😂,neutral
traffic ta ar ki awesome enjoy korlam 🥰,positive
boss er bas faltu hoilo na 💔,negative
Assignment ta moderate asol ...,neutral
chayer adda ta ekdom ghorator hoilo na 😡 ...,negative
boss er ghatiya baje lagse :),negative
Match ta shunlam top class chilo!!,positive
Oir mamaaaaaa zero level baje lagse 😞,negative
Coding ta extreme enjoy korlam,positive
gaan ta ok ache mathay nai 🙄,neutral
Amar annoying baje lagse 😡,negative
Khawa ta onkta fatafati enjoy korlam 🔥,positive
Khawa ta slow hoye gelo 👎,negative
Sokal ta thik thak mathay nai,neutral
Movie ta ar ki faltu hoilo na 😭,negative
Eid er plan asolei puro baje hoye gelo,negative
family te useless khoob kharap :),negative
Laptop ta dekhi normal choltese ...,neutral
Vibe ta bas adhure baje lagse 🤮,negative
Phone ta ekdom kono rokom mathay nai 😅,neutral
Chayer adda ta birokto khuuub kharap 🤮,negative
Match ta moderate asol,neutral
Boss er asolei normal mathay nai 😂,neutral
Chayer adda ta masti chilo 💥 ...,positive
Weather ta mone hoy temon valo na choltese,neutral
Result ta just okayyyy thaake 😂,neutral
Laptop ta puro mojadar laglo ❤️,positive
Oir sera enjoy korlam ✅,positive
brother er mone hoy adhure hoye gelo???,negative
vibe ta bas heavy laglo 😅,positive
Classsss er kopa cupai gelo 🥳,positive
Coding ta onekta onno rokom hise,positive
Result ta mind blowing cupai gelo,positive
amar ki bolbo top class enjoy korlam 🙌 😅,positive
assignment ta ar ki waste of time khoob kharap 💔???,negative
Family te dekhi thik e ache mathay nai,neutral
Exam er mojadar dekha jabe,positive
weather ta ki bolbo common thaake 😅,neutral
class er parlam na gelo ❌ :),negative
Class er mone hoy zero level khuuub kharaaap 😞 😅,negative
Vibe ta ki bolbo useless hoilo na 👎,negative
internet ta sotti disgustingggg gelo 😡,negative
khawa ta onkta typical kora hoy nai 🙄,neutral
Exam er eta to bakwas gelo,negative
Ajker waste of time hoilo na 👎,negative
internet ta faltu gelo 🤮,negative
laptop ta parlam na atke gelam 🙄,negative
bazar e eta to disgusting hoilo na 😭,negative
brother er ekdom fresh chilooooo 🙄,positive
Exam er shunlam heavy cupai gelo ✨,positive
traffic ta vabi nai slow hoilo na 🤬,negative
laptop ta ki bolbo faltu baje lagse 👎 ...,negative
Bus e shunlam brilliant cupai gelo 🥰!!,positive
Ei eta to brilliant enjoy korlam ✨,positive
Match ta puro shanti hoise 🔥,positive
Vibe ta ekdom typical choltese,neutral
assignment ta masti chilo 🥰 🙄,positive
traffic ta darun palam 😂,positive
chayer adda ta asolei thik e ache asollll,neutral
Family te op chilo ❤️,positive
Bazar e asolei faka hoilooooo na :),negative
Eid er plan masti chilo,positive
Sokal ta boring khuuub kharaaap 😡 🙄,negative
Bus e adhure gelo,negative
weather ta vibe ta common hoy,neutral
Result ta puro matha nosto kharaaap baje lagse 🤮 🙄,negative
chayer adda ta puro baje hoilo na 😭,negative
oir dekhi common thaake,neutral
Trafficcc ta ar ki ekdom ghorator atke gelam 👎,negative
Ajker kopa dekha jabe 🥳???,positive
Chayer adda ta shunlam kopa hoyeche 🔥,positive
boss er ekdom kono rokom thaake ...,neutral
Friend ra kono rokom thaake,neutral
Friend ra bas masti cupai gelo 🥰,positive
khawa ta extreme pelam,positive
bazar e dekhi parlam na khoob kharaaap 😭,negative
vibe ta onkta ok ache kora hoy nai 🙄,neutral
Exam er asolei slow khub kharaaap ❌,negative
Family te puro kono rokom thaake 😂,neutral
Amar ok acheee thaake :),neutral
Gaan ta onekhta normal kora hoy nai,neutral
Khawa ta ar ki fire palam ✅,positive
Result ta mama onno rokom cupai gelo ❤️ 😅,positive
Weather ta ekdom temonnnnnn blo na thaake,neutral
oir agoonnnnn hoise 💥,positive
laptop ta vabi nai irritating baje lagse 👎,negative
Vibe ta sotti useless baje lagse ❌,negative
Job ta ekdom matha betha hoye gelo ...,negative
Ajker ar ki slow hoye gelo 😞,negative
Khawa ta shunlam op pelam 🙌,positive
Phone ta puro darun palam,positive
Traffic ta mama puro baje hoye gelo 💔,negative
eid er plan tension er baje lagse,negative
Bazar e ki bolbooo kono rokom asol,neutral
Chayer adda ta fire dekhaaaa jabe 😍,positive
Assignment ta jossh hoise ✨,positive
Weather ta dekhi temon bhalo na mathay nai,neutral
Gaan ta mama ekdom ghorator khuuub kharap 💔 😂,negative
Class er dekhi adhure hoye gelo ❌,negative
Class er eta to chalai neyaaa jay asol,neutral
Assignment ta vabi nai temon blo na thaake :),neutral
boss er vabi nai faka hoye gelo 🤮 ...,negative
vibe ta khuuub birokto gelo,negative
assignment ta khuuub top class chilo 😍,positive
Job ta average thaake,neutral
Eid er plan onno rokom hoyeche ✅,positive
brother er vibe ta average thaake,neutral
Brother er puro puro baje khb kharap 👎,negative
laptop ta onkta bakwas atke gelam 😭 😅,negative
oir faltu gelo 👎!!,negative
ajker ar ki normal thaake 😅,neutral
Boss er op hoisechilo ✨,positive
Bazar e mama agoon cupai gelo 💥,positive
Sokal ta irritatingggggg hoilo na 💔,negative
Result ta asolei fatafati laglo :),positive
review ta ekdom fatafati hise ✨,positive
review ta dekhi tension er khub khrp 🤮,negative
Eid er plan puro fire enjoy korlam,positive
ajker thik thak mathay nai,neutral
Ajker average asol 😂,neutral
result ta onekkkta thik e ache mathay nai,neutral
Khawa ta level up hise 🥰 😅,positive
Boss er shunlam ok ache koraaaaa hoy nai,neutral
oir thik e ache hoy,neutral
laptop ta adhure chinta hocche 💔,negative
Friend ra mama chalai neya jay hoy 🙄,neutral
Friend ra dekhi ekdom ghorator chinta hocche 😞,negative
Boss er dekhi so-so thaake,neutral
review ta vabi nai ekdom ghorator atke gelam ❌,negative
match ta ekdom moderate hoy ...,neutral
Brother er valoo hoise,positive
Match ta ki bolbo waste of time hoye gelo 😞,negative
family te eta to awesome dekha jabe 🥰 :),positive
Friend ra mama parlam na atke gelam 😞,negative
Boss er puro ok ache kora hoy nai 🙄,neutral
Review ta mone hoy awesome palam,positive
Sokal ta sotti normal hoy ...,neutral
exam er vibe ta op palam ✨ 😅,positive
match ta dekhi brilliant cupai gelo,positive
Gaan ta asolei fire laglo ✨ :),positive
sokal ta vabi nai moderate choltese,neutral
eid er plan typical hoy,neutral
weather ta onkta extreme chilo ✅ 😂,positive
Exam er parlam na chinta hocche 🤮,negative
Oir tension er atke gelam???,negative
coding ta bas parlam na khuuub khrp ❌,negative
Match ta temon valo na choltese,neutral
amar ekdom matha betha chintaaa hocche,negative
Weather ta vibe ta agoon chilo 🔥,positive
weather ta mama adhureeee baje lagse 😞,negative
Exam er bas ghatiya hoilo na 😡,negative
Exam er ar ki faltu atke gelam 😡,negative
friend ra birokto khb khrp ❌,negative
Laptop ta faltu chinta hocche ❌ 😂,negative
Movie ta vibe ta awesome dekha jabe ...,positive
chayer adda ta adhure gelo 👎???,negative
Ei ghatiya gelo 😭,negative
Brother er common mathay nai???,neutral
Brother er so-so thaake 🙄,neutral
Weather ta ki bolbo irritating gelo,negative
Brother er masti hoyeche 😅,positive
result ta vibe ta matha nosto kharaaap gelo 😞 🙄,negative
phone ta temon blo na hoy :),neutral
Gaan ta ar ki slow khub kharap :),negative
assignment ta vibe ta thik thak kora hoy nai,neutral
result ta ki bolbo zero level atke gelam ❌,negative
Bazar e ki bolbo thik thak hoy???,neutral
chayer adda ta shunlam ekdom fresh pelam 🙌,positive
internet ta brilliant pelam 💥,positive
Traffic ta khoob moderate hoy,neutral
Gaan ta fakaaaa hoilo na,negative
ei ekdom zero level hoye gelo,negative
review ta mama temon valoo na mathay nai!!,neutral
Movie ta thik e ache hoy 😂,neutral
brother er typical choltese,neutral
Match ta super palam 🥰???,positive
Assignment ta awesome cupai gelo 😂,positive
Review ta bas ghatiya chinta hocche 😭,negative
Weather ta chomokdar chilo 🥰 😂,positive
Traffic ta dekhi zero level hoilo na???,negative
Laptop ta just okay choltese,neutral
Bazar e jossh hoyeche :),positive
job ta puro just okay thaake,neutral
Gaan ta mama fatafati palam ✅???,positive
Ajker dekhi normal thaake,neutral
laptop ta brilliant cupai gelo :),positive
Bus e asolei tension er khb kharap 😡 🙄,negative
Internet ta puro parlam na hoilo na 🙄,negative
Khawa ta op dekha jabe 🥳 ...,positive
chayer adda ta mama fire cupai gelo 🔥,positive
Weather ta puro sera dekha jabe,positive
Boss er khb ekdom fresh cupai gelo 🙌,positive
Family te khub extreme pelam ❤️,positive
Review ta ghatiya hoilo na ❌,negative
Laptop ta asolei level up laglo 🙌 😂,positive
Assignment ta mama irritating baje lagse ❌,negative
gaan ta dekhi puro baje khuuub kharap 😞!!,negative
khawa ta irritating atke gelam 🤮 😅,negative
chayer adda ta vabi nai op palam 🥳,positive
Sokal ta annoying gelo,negative
Result ta puro level up dekha jabe 🥳,positive
gaan ta shunlam average kora hoy nai,neutral
weather ta sotti matha betha hoilo na 🤮,negative
khawa ta masti palam 🔥 :),positive
Eid er plan sotti bakwas chinta hocche 💔,negative
Exam er puro zero level gelo 🤮,negative
ajker ar ki heavy dekha jabe 🥳,positive
phone ta puro useless baje lagse 😡,negative
bazar e annoying hoilo na,negative
Khawa ta ki bolbo masti laglo 🥳 🙄,positive
job ta faltu hoilo na 🤬!!,negative
Job ta ekdom typical mathay nai :),neutral
eid er plan ki bolbo normal asol???,neutral
Boss er puro slow khuuub kharap 👎,negative
family te vibe ta annoying atke gelam 👎,negative
class er asolei typical thaake ...,neutral
job ta bas chalai neya jay hoy,neutral
Exam er shunlam parlammmmm na khuuub kharap???,negative
Laptop ta ar ki typical mathay nai!!,neutral
class er mojadar dekha jabe ...,positive
Boss er slow hoye gelo 😭 :),negative
Exammmmmm er onekhta matha betha khub khrp,negative
movie ta ar ki heavy laglo,positive
result ta slow chinta hocche ❌,negative
eid er plan adhure chinta hocche 😞 🙄,negative
Bazar e op hoyeche 🔥 :),positive
assignmentttttt ta sotti extreme dekha jabe 🔥 ...,positive
Resultttttt ta puro waste of time baje lagse ❌,negative
Result ta ki bolbo slow hoye gelo,negative
friend ra khub matha betha chinta hocche 😞 😂,negative
bazar e ok ache choltese ...,neutral
Exam er bas irritating baje lagse 🤬 🙄,negative
Traffic ta ar ki shanti cupai gelo 🙌,positive
Ajker onekkkta sera enjoy korlam ✅ ...,positive
coding ta bas useless khb kharaaap ❌,negative
Traffic ta so-so thaake,neutral
Vibe ta khoob super dekha jabe,positive
boss er vibe ta boring baje lagse 💔,negative
Ei mama fire palam ✅,positive
Internet ta shunlam kopa dekha jabe 🥳 :),positive
khawa ta awesome palam ✨,positive
job ta fatafati laglo!!,positive
phone ta bhalo dekha jabe 😍!!,positive
Bazar e mone hoy op enjoy korlam,positive
Chayer adda ta asolei super hoisechilo,positive
Job ta vabi nai super laglo 🥳 ...,positive
exam er bakwas atke gelam 🤮,negative
Ei eta to agoon laglo!!,positive
Family te ar ki typical mathay nai 😅,neutral
Ajker jossh enjoy korlam 😍,positive
Chayer adda ta fatafati chilo,positive
Vibe ta sera enjoy korlam ✅???,positive
Eid er plan dekhi slow khub khrp :),negative
Khawa ta puro super laglo 😍,positive
brother er vabi nai kopa palam 🔥,positive
Brother er op cupai gelo,positive
laptop ta ekdom mojadar laglo ✨ 😂,positive
Review ta shunlam super cupai gelo 🔥 🙄,positive
Chayer adda ta shunlam so-so asol???,neutral
ajker mone hoy masti palam 💥,positive
Ajker ok ache choltese,neutral
Bus e waste of time khuuub kharaaap,negative
boss er just okay kora hoy nai,neutral
gaan ta eta to thik e ache kora hoy nai,neutral
Job ta typical kora hoy nai,neutral
Friend ra tensionnnnn er gelo 🤬,negative
vibe ta shunlam faka khuuub kharaaap :),negative
Phone ta onkta sera laglo ✨,positive
Boss er vabi nai matha betha atke gelam,negative
Ajker faltu chinta hocche,negative
Friend ra normal choltese,neutral
chayer adda ta vibe ta thik e ache thaake,neutral
gaan ta dekhi typical mathay nai,neutral
Boss er so-so mathay nai 🙄,neutral
Chayer adda ta onekhta zero level chinta hocche,negative
Gaan ta thik e ache mathay nai ...,neutral
Result ta typical mathay nai :),neutral
Amar eta to disgusting chinta hocche 👎,negative
class er onekta waste of time chinta hocche 💔,negative
laptop ta khuuub ghatiya gelo 😂,negative
Oir chalai neya jay hoy,neutral
brother er ekdom faltu hoilo na 😡 😅,negative
eid er plan mone hoy extreme dekha jabe 🥰 :),positive
Match ta vibe ta normal mathay nai!!,neutral
Job ta puro just okay kora hoy nai,neutral
result ta ar ki mastiiiiii palam,positive
vibe ta waste of time hoilo na 👎,negative
sokal ta darun cupai gelo,positive
khawa ta kono rokom asol 😂,neutral
Phone ta asolei sera hoyeche ...,positive
Class er ekdom ghorator khub kharap 👎,negative
friend ra mama birokto baje lagse!!,negative
Job ta mama ekdom fresh enjoy korlam 🥳 😂,positive
coding ta vibe ta agoon palam 🙌,positive
class er asolei zero level gelooooo 😂,negative
Class er asolei jossh cupai gelooooo 🙌,positive
Bazar e mone hoy matha nosto kharap gelo 💔???,negative
exam er bas slow atke gelam,negative
vibe ta dekhi mojadar enjoy korlam ✨ 😅,positive
Bus e khoob op pelam ✨!!,positive
laptop ta vibe ta masti pelam ✨,positive
Ei jossh pelam,positive
Eid er plan asolei onno rokom enjoy korlam ✨???,positive
brother er eta to just okay mathay nai,neutral
class er eta to ok ache asol,neutral
Family te eta to mojadar laglo 🙌,positive
internet ta vibe ta matha betha khb kharaaap 😞,negative
vibe ta just okay asol 🙄,neutral
Vibe ta ghatiya gelo,negative
oir useless chinta hocche 🤬,negative
laptop ta onekhta super palam 🔥!!,positive
result ta shunlam waste of time baje lagse 💔!!,negative
Bus e ar ki thik thak choltese,neutral
amar bas adhure atke gelam,negative
Coding ta ok ache thaake,neutral
gaan ta valo laglo 🥰 😂,positive
Friend ra shunlam disgusting baje lagse 😂,negative
Gaan ta vabi nai faltu gelo 😡,negative
exam er bas chalai neya jay kora hoy nai,neutral
ei khb agoon pelam,positive
Match ta chomokdar chilo 🔥!!,positive
Vibe ta tension er hoye gelo 😞???,negative
Result ta ar ki slow gelo 💔,negative
ajker eta to ekdom ghorator atke gelam 😡,negative
job ta vibe ta faltu hoye gelo 😭 🙄,negative
Oir ar ki common kora hoy nai,neutral
weather ta sotti slow chinta hocche 😡,negative
Eid er plan kopa enjoy korlam ✅,positive
internet ta mone hoy average hoy 🙄,neutral
boss er asolei normal choltese,neutral
Exam er shunlam faltu khoob kharaaapppp :),negative
movie ta dekhi fire hoisechilo,positive
